"Location","1990","2000","2010","2020","2030","2040","2050"
"Costa Rica",2279.50839189087,3260.25877823376,4462.91805418088,5890.95368841152,8247.25811114272,10939.6625323274,13538.3982275557
"Cuba",14761.4096436612,17308.4290860019,23015.5282918484,28108.3521771485,33134.660797425,38550.9092274012,42705.1671221117
"Cyprus",1094.65971134041,1311.5649391967,1820.99455384727,2156.89544593872,2832.61491998025,3602.19189326554,4387.16641041282
"Czechia",29016.5063841311,28907.4025567646,29427.8629062963,30837.5357620833,34889.8877812741,38815.9848432457,41621.0565853677
"Germany",222788.223472255,220028.43842243,237572.013659697,260957.951603495,290153.580194628,315888.884862768,334638.789945427
"Djibouti",177.178642360477,312.921653924239,498.926303988738,768.556699171999,1211.86216446855,1890.53154387415,2786.8872681443
"Dominica",99.7791266616046,104.191973672313,111.638448376399,132.425255629967,160.997021462879,197.814640707437,222.102128812847
"Denmark",15113.1450806236,16396.3872228098,16829.8648638624,17940.5329772391,21418.1301542499,23666.6359398698,25246.6854482185
"Dominican Republic",3245.84466016807,4921.68737476736,7181.7138520489,9613.66877545019,12564.6484725623,17145.4759985865,22845.6644928167
"Algeria",7361.53914812065,8803.22906623299,12004.2308504508,16589.5904285153,23030.4139049489,33970.283858397,48067.9881993001
"Ecuador",6079.96808543082,9155.26632914989,14181.3727563086,16705.1360954534,22368.6205663813,30274.0519974937,39620.3794153018
"Eritrea",1874.485438624,2226.57619067628,3024.79421973007,3905.18463577993,5256.88555449625,7381.59484413435,10171.832765384
"Spain",85814.2499562638,100507.694786411,113839.385003212,119063.962650987,134944.278907554,158552.642547827,180428.171269219
"Estonia",3504.80010385305,3604.62404266902,3460.86837910881,3792.88199638849,4041.81743718246,4446.62105601796,4772.88551009679
"Ethiopia",34169.2195371708,36151.404860168,34322.6760495706,46061.3534506458,66177.8251161136,101584.201303246,158312.64056342
"Finland",10453.8622804376,10899.8002030208,12179.9430544318,14183.121412292,16807.2292656058,19223.6552781184,20142.1778224171
"Fiji",387.030628857387,454.417435356625,600.540028062615,757.841177504704,933.138388199371,1143.42518175815,1350.94686971283
"France",151389.834451078,162353.912347137,179452.163275721,196310.588055183,221344.464273611,260144.240054683,280867.585850344
"Micronesia (Federated States of)",66.0426215576874,70.0724631389129,79.1113424517109,94.0309452872337,119.16969087711,146.652643036542,168.979219994899
"Gabon",767.097458210229,927.612546391012,1031.71780394433,1328.53656559436,1784.57979596339,2524.59251660688,3505.6012442831
"United Kingdom",171310.20778668,164746.459606415,169037.463337285,185516.385612392,222700.877844476,262068.242518759,296215.235930791
"Georgia",7715.37167119797,6664.69800880445,7241.54444295508,9003.81445593655,9938.62612236783,10961.3337705086,11267.2843817812
"Ghana",5869.64414613772,8636.26952744031,10479.1038269811,14753.6668680052,20670.2018436613,30365.3863572782,44480.588259737
"Guinea",3459.7487762508,4680.97998480629,5459.88359897641,5943.69494161834,7506.85301806148,10545.9101672953,15265.0465035685
"Gambia",278.199496747073,437.524461287693,589.396682734724,843.398151173648,1105.55491421745,1573.12979236885,2294.08410168122
"Guinea-Bissau",559.844461581534,619.747912480188,767.379655973096,954.317811538916,1266.06728212579,1889.06687410352,2844.5230357477
"Equatorial Guinea",231.60604723715,254.145224132389,368.058794391969,581.104786757827,892.845405574937,1536.45124685667,2645.87793814486
"Greece",24716.9006938724,29183.1297988914,29762.5925319794,35410.8604615127,37875.9906028731,41423.8452685608,44449.0299468425
"Grenada",111.716483536035,130.421323667604,160.017101514439,175.797140613349,225.748460973763,283.937076029227,335.286554830925
