Location;1990;2000;2010;2020;2030;2040;2050
Brazil;111626.84550450298;157084.7155485902;209535.13760584005;274527.1741089579;354213.9864781931;457650.75789897924;561412.0082423739
Barbados;454.198935797182;513.1118546740556;614.2346067448553;754.3355799344527;884.0884163204954;1030.4316168388707;1096.9199187378017
Brunei Darussalam;200.56279755562;224.11825479422984;303.1210689868777;444.2978824310575;695.3393543982762;1055.2679474131182;1456.1100474340963
   Bhutan;205.324727734829;247.3013004775136;306.7279544498752;402.5632966703244;540.3192717017092;759.8141718068644;1063.959004041965
Botswana;708.5575361664012;1094.1822564822223;1441.146665859992;1702.5945484539952;2345.19909941706;3504.2170732884138;5094.210520014719
Central African Republic;1615.2926014154614;1947.4458070569945;2218.033808138219;2694.377201326555;3173.5461153292754;4110.582858640654;5250.336906448423
Canada;55202.72130545935;65036.3019791583;77420.49721739147;86596.7258664325;113490.76138746232;143955.31070821118;163593.22108853896
  Switzerland;14744.125731505408;16209.229552187711;17502.723576354125;19228.36379115885;23450.378794536555;28491.62831493416;33194.01617877153
Chile;16242.073134141385;20215.206963723464;25183.501292545883;28772.48547938164;37796.65091825561;49719.09079504515;61302.887941456334
Côte d'Ivoire;2961.6602009304743;4679.741766179592;5871.3828274664975;7949.572024961145;11920.061841660996 deaths;18911.28490252797;29539.476974266567
Cameroon;4519.956735107355;6518.189174249794;9341.9674237305;12764.858543301836;17940.62876353661;26903.498458072114;40341.383251412735
Democratic Republic of the Congo;15394.711232946747;18505.350516855;23162.322141103985;33433.70703838632;47762.88975722813;71029.21918084554;103970.06745469182
Congo;1599.574024065014;1993.1263194875824;2368.178268528932;3353.093787544064;4685.145817726179;6813.473893575275;9477.52881450601
Cook Islands;16.25949301618177;19.618023840546407;23.479582053043536;30.07076201970703;36.22786436411813;43.457920315758344;48.936219529556006
  Colombia;23576.542873593324;30118.631305385028;38839.96121607449;51077.71396365278;66721.75074410393;88575.5881758146;111783.65480442069
Comoros;271.3900657424578;348.7050643118636;400.4284923580619;577.5424202726135;759.296809329447;1019.8955720781564;1337.5494900810334
Cabo Verde;254.52392698614872;356.40687680942324;413.6243645475422;637.951433746203;805.2955851577029;1181.3452698990836;1634.7710333968948
Costa Rica;2279.5083918908663;3260.258778233755;4462.918054180884;5890.9536884115205;8247.258111142717;10939.662532327431;13538.398227555663
Cuba;14761.409643661227;17308.429086001906;23015.52829184837;28108.352177148525;33134.660797424964;38550.90922740119;42705.1671221117
Cyprus;1094.6597113404114;1311.5649391967013;1820.9945538472684;2156.8954459387182;2832.6149199802467;3602.1918932655444;4387.166410412817
Czechia;29016.506384131146;28907.402556764588;29427.8629062963;30837.535762083284;34889.88778127407;38815.984843245744;41621.05658536771
Germany;222788.22347225487;220028.4384224301;237572.0136596969;260957.95160349456;290153.5801946281;315888.8848627678;334638.7899454269
